latitude,longitude,title,description
33.019693218235,98.1529274890726,བུཨམ་རྙིཨང་དགོན,SN_id: SNS13 Remarks: Verified by lhachok based on Mapcarta
32.871125,98.675782,དབོན་པོ་དགོན,SN_id: SNS131 Remarks: Verified by lhachok based on mapcarta
32.900094,103.679217,བྱ་དུར་དགའ་མལ་དགོན ༼བྱ་དུར་དགའ་སྨིན་གཡུང་དྲུང་གླིང༽,"SN_id: SNS135 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
31.87275,101.341638,སྐུ་འབུམ་དགོན ༼ཕྱོགས་ལས་རྣམ་པར་རྒྱལ་བའཱི་སྐུ་འབུམ་དགོན༽,SN_id: SNS136 Remarks: nan
33.429772,103.363683,མད,"SN_id: SNS138 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
32.862343,99.439466,ཕུཨའུ་དགོན,"SN_id: SNS139 Remarks: Verified by Lhachok based on mapcarta and the book ""Temples of Amdo Vol1"""
32.265573,100.348757,ཡག་འུ་དཕ༹གོན,"SN_id: SNS14 Remarks: Verified by Lhachok based on the book ""Temples of Amdo,Vol1"""
32.9748147606358,98.0835548886776,ཇུ་མང་དགོན,SN_id: SNS140 Remarks: Verified by Lhachok. GE shows as JUWA GONBA.
31.805327,101.56177,ཀ་ར་དགོན,SN_id: SNS141 Remarks: nan
31.746065,101.713863,ཀྱུང་དགོན ༼འབྲུག་རི་བཀྲ་ཤི་ཁྱུང་དགོན༽,SN_id: SNS148 Remarks: nan
31.630663,101.428189,བཤད་སྒྲུབ་དར་རྒྱས་དགོན༼མཐུན་ལུང་དགོན༽,SN_id: SNS150 Remarks: nan
32.794281,100.067229,བརད་ཚང་དགོན,"SN_id: SNS152 Remarks: Verified by Lhachok based on mapcarta and the book ""Temples of Amdo Vol1"""
32.944208,98.238262,མང་དགེ་དགོན,SN_id: SNS153 Remarks: Verified by lhachok based on mapcarta
31.303373,102.01819,གཡུང་དྲུང་ལྷ་ལྡིང་དགོན ༼བསྟན་འཕེལ་གླིང༽,SN_id: SNS154 Remarks: nan
32.195676,103.194066,བོའཱི་འུར་དགོན ༼བོའཱི་འུར་དགོན་བཀྲ་ཤི་རྣམ་རྒཡལ་གླིང༽,"SN_id: SNS156 Remarks: Verified based on the book""Monasteries of Amdo""Vol1 East and South Amdo"
32.520509,101.057995,སྤང་ཐོག་དགོན ༼ཋུབ་བསྟན་བཤད་སྒྲུབ་ནོར་བུའཱི་གླིང༽,SN_id: SNS16 Remarks: nan
31.692995,103.121762,བསམ་གཏན་དགོན,SN_id: SNS161 Remarks: nan
32.342795,100.656629,ཪི་ནང་གནས་ཆེན་དགོན ༼བསམ་གྲུབ་གསང་སྔགས་ཆོས་འཁོར་གླིང༽,SN_id: SNS165 Remarks: nan
31.803319,101.640609,ཋུགས་རྗེ་ཆེན་པོའཱི་དགོན,SN_id: SNS166 Remarks: nan
31.86181,101.703927,Oད་ཟེར་དགོན,"SN_id: SNS167 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
33.505625,97.697926,ཀ་བཞི་དགོན,SN_id: SNS168 Remarks: Verified by Lhachok based on Mapcarta
32.016547,100.106144,རགས་བཀྲམ་དགོན,"SN_id: SNS17 Remarks: Verified by Lhachok based on the book ""Temples of Amdo,Vol1"""
32.443311,100.213308,དཀྱིཨལ་ལུཨང་དགོན,"SN_id: SNS170 Remarks: Verified by Lhachok based on mapcarta and the book ""Temples of Amdo Vol1"""
32.7365785792274,102.047359176049,ཌགོན་སར་དགོན ༼ཌགའ་ལྡན་འཇམ་དབྱང་གླིང༽,SN_id: SNS171 Remarks: VF by Gen Samten
30.968264,102.638651,ཊ་ཝེ་དགོན ༼ཌགའ་ལྡན་བྱམས་པ་གླིང༽,SN_id: SNS172 Remarks: nan
33.726994,103.229072,གྲོ་ཚང་དགོན ༼བཤད་སྒྲུབ་དར་རྒྱས་གླིང༽,"SN_id: SNS175 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
31.911047,102.19827,བོ་ལ་དགོན ༼སྟོབས་ལྡན་གླང་ཆེན་དགོན་༽,"SN_id: SNS177 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
32.940056,101.778195,གནམ་ལྕགས་དགོན ༼ཪནམ་དགའ་དགེ་འཕེལ་གླིང༽,SN_id: SNS179 Remarks: VF by Gen Samten
31.571645,101.884153,མཏ,SN_id: SNS180 Remarks: nan
32.8146827330813,101.852216010268,གདོང་རི་དགོན ༼གདོང་རི་དགོན་དགའ་ལྡན་དམ་ཆོས་གླིང༽,SN_id: SNS181 Remarks: Verified by the book Temples of Amdo vol1
32.7543996487458,101.918755312945,གཞུ་ཤུབས་དགོན ༼སྒྲུབ་སྡེ་བསམ་གཏན་གླིང༽,SN_id: SNS183 Remarks: VF by Gen Samten
33.693617,103.41363,རྒུར་སྐྱང་དགོན ༼ཋང་ཞིང་གཡུང་དྲུང་གླིང་-་རྣམ་རྒྱལ་ཀུན་གྲགས་གླིང་-་རྒུར་སྐྱང་སྤྱང་ཚང་གླིང༽༽,"SN_id: SNS185 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
32.054498,103.158013,ཀོ་སྦ་དགོན ༼བྷ་དབོ་དགོན༽,"SN_id: SNS186 Remarks: Verified based on the book""Monasteries of Amdo""Vol1 East and South Amdo"
31.634348,99.983297,དཀར་མཛེས་དགོན,SN_id: SNS187 Remarks: Verified by Lhachok
31.478625,99.175214,སེཨང་རི་དགོན,SN_id: SNS19 Remarks: Verified by Lhachok.
32.634215,99.724643,ཁང་དམར་ན་མདོ་དགོན,SN_id: SNS191 Remarks: Verified by Lhachok based on the book Temples of Amdo and Mapcarta
32.259115,101.89745,སྣར་འདུས་དགོན ༼ཆོས་འཁོར་བདེ་ཆེན་གླིང༽,"SN_id: SNS194 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
32.830103743512,102.50916847893,མ,"SN_id: SNS198 Remarks: Verified based on the book""Monasteries of Amdo""Vol1 East and South Amdo"""
31.753971,101.419997,བདེ་ཆེན་དགོན ༼སྲོ་ཡོ་དགོན༽,SN_id: SNS2 Remarks: འཛམ་ཐང་
32.387969,103.472734,གསེར་ལེན་དགོན༼ཞང་ངུ་གསེར་ལེན་དགོན༽,"SN_id: SNS200 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
